DATA_FREE,CHECK_TIME,TABLE_ROWS,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,NODEGROUP,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,AVG_ROW_LENGTH,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,TABLE_PRIVILEGES,def,NULL,16760070,NULL,NULL,3285,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,8192,2025-05-13 12:42:47,<blank>,8192,information_schema,TRIGGERS,def,NULL,4503599627288576,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,USER_PRIVILEGES,def,NULL,16744624,NULL,NULL,2899,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,8192,2025-05-13 12:42:47,<blank>,8192,information_schema,VIEWS,def,NULL,4503599627288576,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,CLIENT_STATISTICS,def,NULL,16519256,NULL,NULL,386,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INDEX_STATISTICS,def,NULL,16765917,NULL,NULL,1743,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_FT_CONFIG,def,NULL,16704169,NULL,NULL,1163,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,GEOMETRY_COLUMNS,def,NULL,16759556,NULL,NULL,4244,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_TABLESTATS,def,NULL,16383000,NULL,NULL,250,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,SPATIAL_REF_SYS,def,NULL,16758689,NULL,NULL,7691,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,USER_STATISTICS,def,NULL,16746345,NULL,NULL,567,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_TRX,def,NULL,16767550,NULL,NULL,4430,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_CMP_PER_INDEX,def,NULL,16555200,NULL,NULL,600,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
