TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG
ccledu_next480,oc_user_status,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_user_status,UNIQUE,user_status_uid_ix,ccledu_next480,def
ccledu_next480,oc_groups,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_appt_configs,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_appt_configs,UNIQUE,cal_appt_token_uniq_idx,ccledu_next480,def
ccledu_next480,oc_calendar_rooms_md,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_metadata_index,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_translation,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_translation,UNIQUE,ex_translation__idx,ccledu_next480,def
ccledu_next480,oc_ex_translation,CHECK,from_languages,ccledu_next480,def
ccledu_next480,oc_ex_translation,CHECK,to_languages,ccledu_next480,def
ccledu_next480,oc_privacy_admins,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_reactions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_reactions,UNIQUE,comment_reaction_unique,ccledu_next480,def
ccledu_lumahsi,contact,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,about,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,faculty,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,corevalues,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,administration,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,news_,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,gallery,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,login,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,login,UNIQUE,username,ccledu_lumahsi,def
ccledu_lumahsi,visits,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,diploma_courses,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,slider,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,admissionform,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,undergraduate_courses,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,notifications_,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,youtubegallery,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,affiliation,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,facilities,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,messages,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,downloads,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,scholarships,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_lumahsi,videos,PRIMARY KEY,PRIMARY,ccledu_lumahsi,def
ccledu_ccl_new_db,bog,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,about,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,faculty,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,jobs,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,result,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,houses,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,gallery,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,admission,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,ex,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,tenders,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,login,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,login,UNIQUE,username,ccledu_ccl_new_db,def
ccledu_ccl_new_db,teachers,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,teachers,UNIQUE,username,ccledu_ccl_new_db,def
ccledu_ccl_new_db,pride,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,faqs,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,slider,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,issbcorner,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,finalresult,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,news,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,facilities,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,messages,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,login_info,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,larkanians,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,appointments,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,lectures,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,uploads,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,uploads,UNIQUE,filename,ccledu_ccl_new_db,def
ccledu_ccl_new_db,shuhadas,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,written1,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_ccl_new_db,videos,PRIMARY KEY,PRIMARY,ccledu_ccl_new_db,def
ccledu_wp186,wp3w_wpxlsdata,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_loginizer_logs,UNIQUE,ip,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_imports,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_posts,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_termmeta,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_comments,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_users,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_postmeta,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_options,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_options,UNIQUE,option_name,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_history,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_term_taxonomy,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_term_taxonomy,UNIQUE,term_id_taxonomy,ccledu_wp186,def
ccledu_wp186,wp3w_term_relationships,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_commentmeta,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_files,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_posts,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_terms,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_links,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_wpxlsdata_shortcode,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_wpxlsdata_meta,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_hash,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_images,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_usermeta,PRIMARY KEY,PRIMARY,ccledu_wp186,def
ccledu_wp186,wp3w_pmxi_templates,PRIMARY KEY,PRIMARY,ccledu_wp186,def

