meta_id,post_id,meta_key,meta_value
46,20,_wp_attached_file,2025/04/about4.jpg
47,20,pagelayer_image_md5,71d18f3964f43d41cba493c9c5b700e6
48,20,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:423;s:4:""file"";s:18:""2025/04/about4.jpg"";s:8:""filesize"";i:41531;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:18:""about4-300x198.jpg"";s:5:""width"";i:300;s:6:""height"";i:198;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:14465;}s:9:""thumbnail"";a:5:{s:4:""file"";s:18:""about4-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:6657;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
49,21,_wp_attached_file,2025/04/teacher1.jpg
50,21,pagelayer_image_md5,2d937415bae39672844131bd79868dea
51,21,_wp_attachment_metadata,"a:6:{s:5:""width"";i:300;s:6:""height"";i:300;s:4:""file"";s:20:""2025/04/teacher1.jpg"";s:8:""filesize"";i:8837;s:5:""sizes"";a:1:{s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""teacher1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5158;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
52,22,_wp_attached_file,2025/04/events4.jpg
53,22,pagelayer_image_md5,3c6711d4cda505cd12aa47d3032a2586
54,22,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/events4.jpg"";s:8:""filesize"";i:20263;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""events4-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:9685;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""events4-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5755;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
55,23,_wp_attached_file,2025/04/branch3.jpg
56,23,pagelayer_image_md5,644a88e9007f9a79a675f117a0e7b638
57,23,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:357;s:4:""file"";s:19:""2025/04/branch3.jpg"";s:8:""filesize"";i:49008;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""branch3-300x167.jpg"";s:5:""width"";i:300;s:6:""height"";i:167;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:16276;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""branch3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:8774;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
58,24,_wp_attached_file,2025/04/teacher3.jpg
59,24,pagelayer_image_md5,8363220e2115cb6f5d7d1df25c28e55c
60,24,_wp_attachment_metadata,"a:6:{s:5:""width"";i:300;s:6:""height"";i:300;s:4:""file"";s:20:""2025/04/teacher3.jpg"";s:8:""filesize"";i:12526;s:5:""sizes"";a:1:{s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""teacher3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5900;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
61,25,_wp_attached_file,2025/04/course2.jpg
62,25,pagelayer_image_md5,3d9c14f210e76a341cdd2e54301d34ea
